,mu,phi,beta,lam,tau,chi,iteration,acceptance_ratio,chain#,bestmodel
0,0.014832139521121685,1.6172105579627493e-10,256.07457575875725,0.06626208517886131,23.548151916720826,73.39220475409057,501,0.46506986027944114,0,threeI
1,0.014832139521121685,1.6172105579627493e-10,256.07457575875725,0.06626208517886131,23.548151916720826,73.39220475409057,502,0.4641434262948207,0,threeI
2,0.014551726715500821,1.6049025915832998e-10,243.5764092779718,0.061180529009200284,23.39532425385298,73.62474893954493,503,0.46520874751491054,0,threeI
3,0.014551726715500821,1.6049025915832998e-10,243.5764092779718,0.061180529009200284,23.39532425385298,73.62474893954493,504,0.4642857142857143,0,threeI
4,0.014728133345744363,1.5287450471903044e-10,240.18472145582294,0.057674475221883424,24.60979658791191,78.37761893369499,505,0.46534653465346537,0,threeI
5,0.015783559084728605,1.482386109151279e-10,253.75636054249705,0.05696328239137327,24.542376890320206,76.92958449869249,506,0.466403162055336,0,threeI
6,0.015783559084728605,1.482386109151279e-10,253.75636054249705,0.05696328239137327,24.542376890320206,76.92958449869249,507,0.46548323471400394,0,threeI
7,0.01634096702960872,1.550120245778241e-10,247.19476775263448,0.05655590275368641,25.295982777610416,75.01922839661898,508,0.46653543307086615,0,threeI
8,0.01634096702960872,1.550120245778241e-10,247.19476775263448,0.05655590275368641,25.295982777610416,75.01922839661898,509,0.4656188605108055,0,threeI
9,0.01634096702960872,1.550120245778241e-10,247.19476775263448,0.05655590275368641,25.295982777610416,75.01922839661898,510,0.4647058823529412,0,threeI
10,0.01634096702960872,1.550120245778241e-10,247.19476775263448,0.05655590275368641,25.295982777610416,75.01922839661898,511,0.4637964774951076,0,threeI
11,0.01647626574862485,1.6369638718905676e-10,228.19291482752385,0.05743242329468178,24.189651842639798,75.17232538613396,512,0.46484375,0,threeI
12,0.01647626574862485,1.6369638718905676e-10,228.19291482752385,0.05743242329468178,24.189651842639798,75.17232538613396,513,0.46393762183235865,0,threeI
13,0.01677862576552743,1.6150786973160266e-10,247.3687734611731,0.05706472337222693,25.74787865226386,73.82062193025602,514,0.4649805447470817,0,threeI
14,0.01677862576552743,1.6150786973160266e-10,247.3687734611731,0.05706472337222693,25.74787865226386,73.82062193025602,515,0.4640776699029126,0,threeI
15,0.01677862576552743,1.6150786973160266e-10,247.3687734611731,0.05706472337222693,25.74787865226386,73.82062193025602,516,0.4631782945736434,0,threeI
16,0.01677862576552743,1.6150786973160266e-10,247.3687734611731,0.05706472337222693,25.74787865226386,73.82062193025602,517,0.4622823984526112,0,threeI
17,0.01677862576552743,1.6150786973160266e-10,247.3687734611731,0.05706472337222693,25.74787865226386,73.82062193025602,518,0.4613899613899614,0,threeI
18,0.01677862576552743,1.6150786973160266e-10,247.3687734611731,0.05706472337222693,25.74787865226386,73.82062193025602,519,0.4605009633911368,0,threeI
19,0.01677862576552743,1.6150786973160266e-10,247.3687734611731,0.05706472337222693,25.74787865226386,73.82062193025602,520,0.4596153846153846,0,threeI
20,0.015542449970893072,1.6417534433254237e-10,250.8462139135044,0.05599898474903574,25.753254081792157,73.53982277276938,521,0.46065259117082535,0,threeI
21,0.015542449970893072,1.6417534433254237e-10,250.8462139135044,0.05599898474903574,25.753254081792157,73.53982277276938,522,0.45977011494252873,0,threeI
22,0.01350475148748631,1.6294330977549338e-10,244.88479040161508,0.05534569306407058,26.93825867839345,73.31298079022592,523,0.4608030592734226,0,threeI
23,0.01350475148748631,1.6294330977549338e-10,244.88479040161508,0.05534569306407058,26.93825867839345,73.31298079022592,524,0.4599236641221374,0,threeI
24,0.01350475148748631,1.6294330977549338e-10,244.88479040161508,0.05534569306407058,26.93825867839345,73.31298079022592,525,0.45904761904761904,0,threeI
25,0.01350475148748631,1.6294330977549338e-10,244.88479040161508,0.05534569306407058,26.93825867839345,73.31298079022592,526,0.45817490494296575,0,threeI
26,0.013713149773570929,1.7129031063887865e-10,233.33721861289223,0.06165778498652126,26.803499215386346,73.04025672586525,527,0.45920303605313095,0,threeI
27,0.013713149773570929,1.7129031063887865e-10,233.33721861289223,0.06165778498652126,26.803499215386346,73.04025672586525,528,0.4583333333333333,0,threeI
28,0.013381606155780212,1.7795610403924535e-10,220.75004886544326,0.062254467777372764,26.347188039589977,73.95087732579529,529,0.45935727788279773,0,threeI
29,0.013381606155780212,1.7795610403924535e-10,220.75004886544326,0.062254467777372764,26.347188039589977,73.95087732579529,530,0.45849056603773586,0,threeI
30,0.013381606155780212,1.7795610403924535e-10,220.75004886544326,0.062254467777372764,26.347188039589977,73.95087732579529,531,0.4576271186440678,0,threeI
31,0.013381606155780212,1.7795610403924535e-10,220.75004886544326,0.062254467777372764,26.347188039589977,73.95087732579529,532,0.4567669172932331,0,threeI
32,0.013381606155780212,1.7795610403924535e-10,220.75004886544326,0.062254467777372764,26.347188039589977,73.95087732579529,533,0.45590994371482174,0,threeI
33,0.013381606155780212,1.7795610403924535e-10,220.75004886544326,0.062254467777372764,26.347188039589977,73.95087732579529,534,0.4550561797752809,0,threeI
34,0.013381606155780212,1.7795610403924535e-10,220.75004886544326,0.062254467777372764,26.347188039589977,73.95087732579529,535,0.4542056074766355,0,threeI
35,0.01312117410528591,1.6757262608399122e-10,241.60716240184584,0.0608149856605508,27.362196838115523,73.20708175247822,536,0.4552238805970149,0,threeI
36,0.01312117410528591,1.6757262608399122e-10,241.60716240184584,0.0608149856605508,27.362196838115523,73.20708175247822,537,0.4543761638733706,0,threeI
