id,organism,control,time,abundance,logscale,treatment
Slagter2016,H,FALSE,44.0479,1.10E+05,FALSE,"Fe limited host, Fe limited vius"
Slagter2016,H,FALSE,48.1125,69230.7692,FALSE,"Fe limited host, Fe limited vius"
Slagter2016,V,FALSE,0.0692,1.83E+07,FALSE,"Fe limited host, Fe limited vius"
Slagter2016,V,FALSE,4.0698,1.06E+07,FALSE,"Fe limited host, Fe limited vius"
Slagter2016,V,FALSE,8.058,1.83E+07,FALSE,"Fe limited host, Fe limited vius"
Slagter2016,V,FALSE,12.0291,4.75E+07,FALSE,"Fe limited host, Fe limited vius"
Slagter2016,V,FALSE,16.0496,1.06E+08,FALSE,"Fe limited host, Fe limited vius"
Slagter2016,V,FALSE,20.0624,1.43E+08,FALSE,"Fe limited host, Fe limited vius"
Slagter2016,V,FALSE,24.1068,1.66E+08,FALSE,"Fe limited host, Fe limited vius"
Slagter2016,V,FALSE,28.0869,1.88E+08,FALSE,"Fe limited host, Fe limited vius"
Slagter2016,V,FALSE,32.195,1.97E+08,FALSE,"Fe limited host, Fe limited vius"
Slagter2016,V,FALSE,40.2177,1.83E+08,FALSE,"Fe limited host, Fe limited vius"
Slagter2016,V,FALSE,44.1969,1.77E+08,FALSE,"Fe limited host, Fe limited vius"
Slagter2016,V,FALSE,48.2741,2.20E+08,FALSE,"Fe limited host, Fe limited vius"
Slagter2016a,H,TRUE,0,1.04E+06,FALSE,Replete
Slagter2016a,H,TRUE,3.9677,8.61E+05,FALSE,Replete
Slagter2016a,H,TRUE,7.9355,9.59E+05,FALSE,Replete
Slagter2016a,H,TRUE,12,1.05E+06,FALSE,Replete
Slagter2016a,H,TRUE,15.9194,9.74E+05,FALSE,Replete
Slagter2016a,H,TRUE,19.9839,1.54E+06,FALSE,Replete
Slagter2016a,H,TRUE,23.9516,1.82E+06,FALSE,Replete
Slagter2016a,H,TRUE,27.9808,2.11E+06,FALSE,Replete
Slagter2016a,H,TRUE,31.9471,2.02E+06,FALSE,Replete
Slagter2016a,H,TRUE,35.9856,2.81E+06,FALSE,Replete
Slagter2016a,H,TRUE,39.9519,3.42E+06,FALSE,Replete
Slagter2016a,H,TRUE,43.9904,4.69E+06,FALSE,Replete
Slagter2016a,H,TRUE,47.8846,4.77E+06,FALSE,Replete
Slagter2016a,H,TRUE,51.851,6.00E+06,FALSE,Replete
Slagter2016a,H,TRUE,55.8894,5.79E+06,FALSE,Replete
Slagter2016a,H,TRUE,59.8558,6.89E+06,FALSE,Replete
Slagter2016a,H,TRUE,0.0232,9.59E+05,FALSE,Fe limited
Slagter2016a,H,TRUE,4.0379,9.00E+05,FALSE,Fe limited
Slagter2016a,H,TRUE,8.0094,1.05E+06,FALSE,Fe limited
Slagter2016a,H,TRUE,12.0238,9.85E+05,FALSE,Fe limited
Slagter2016a,H,TRUE,15.9918,9.94E+05,FALSE,Fe limited
Slagter2016a,H,TRUE,20.0084,1.01E+06,FALSE,Fe limited
Slagter2016a,H,TRUE,23.9343,1.28E+06,FALSE,Fe limited
Slagter2016a,H,TRUE,28.0498,1.39E+06,FALSE,Fe limited
Slagter2016a,H,TRUE,32.0164,1.34E+06,FALSE,Fe limited
Slagter2016a,H,TRUE,36.0364,1.50E+06,FALSE,Fe limited
Slagter2016a,H,TRUE,40.0051,1.54E+06,FALSE,Fe limited
Slagter2016a,H,TRUE,44.0195,1.47E+06,FALSE,Fe limited
Slagter2016a,H,TRUE,52.0068,1.61E+06,FALSE,Fe limited
Slagter2016a,H,TRUE,60.0416,1.72E+06,FALSE,Fe limited
Slagter2016a,H,FALSE,0.0181,1.08E+06,FALSE,Replete
Slagter2016a,H,FALSE,4.0724,9.85E+05,FALSE,Replete
Slagter2016a,H,FALSE,7.9266,1.06E+06,FALSE,Replete
Slagter2016a,H,FALSE,12.0186,1.05E+06,FALSE,Replete
Slagter2016a,H,FALSE,15.9955,8.93E+05,FALSE,Replete
Slagter2016a,H,FALSE,19.9628,1.22E+06,FALSE,Replete
Slagter2016a,H,FALSE,24.0532,1.29E+06,FALSE,Replete
Slagter2016a,H,FALSE,27.988,1.27E+06,FALSE,Replete
Slagter2016a,H,FALSE,32.0093,8.60E+05,FALSE,Replete
Slagter2016a,H,FALSE,35.9835,8.38E+05,FALSE,Replete
Slagter2016a,H,FALSE,40.0009,6.21E+05,FALSE,Replete
Slagter2016a,H,FALSE,44.0956,4.75E+05,FALSE,Replete
Slagter2016a,H,FALSE,48.0365,1.42E+05,FALSE,Replete
Slagter2016a,H,FALSE,52.0125,33078.8803,FALSE,Replete
Slagter2016a,H,FALSE,55.9868,6361.3232,FALSE,Replete
Slagter2016a,H,FALSE,59.6852,3816.7939,FALSE,Replete
Slagter2016a,V,FALSE,0,7.12E+06,FALSE,Replete
Slagter2016a,V,FALSE,4.0069,6.68E+06,FALSE,Replete
Slagter2016a,V,FALSE,8.0138,7.00E+06,FALSE,Replete
Slagter2016a,V,FALSE,11.9862,7.49E+06,FALSE,Replete
Slagter2016a,V,FALSE,16.0276,1.22E+07,FALSE,Replete
Slagter2016a,V,FALSE,24.0312,4.13E+07,FALSE,Replete
Slagter2016a,V,FALSE,27.9231,5.77E+07,FALSE,Replete
Slagter2016a,V,FALSE,32.0105,8.00E+07,FALSE,Replete
Slagter2016a,V,FALSE,35.9028,9.40E+07,FALSE,Replete
Slagter2016a,V,FALSE,39.9903,1.16E+08,FALSE,Replete
Slagter2016a,V,FALSE,44.0053,1.06E+08,FALSE,Replete
Slagter2016a,V,FALSE,47.9395,1.07E+08,FALSE,Replete
Slagter2016a,V,FALSE,51.9527,1.07E+08,FALSE,Replete
Slagter2016a,V,FALSE,55.967,1.00E+08,FALSE,Replete
Slagter2016a,V,FALSE,60.0197,9.99E+07,FALSE,Replete
Slagter2016a,H,FALSE,0.0159,1.19E+06,FALSE,Fe limited
Slagter2016a,H,FALSE,3.9944,9.52E+05,FALSE,Fe limited
Slagter2016a,H,FALSE,7.964,1.16E+06,FALSE,Fe limited
Slagter2016a,H,FALSE,12.1366,1.06E+06,FALSE,Fe limited
Slagter2016a,H,FALSE,15.9952,9.05E+05,FALSE,Fe limited
Slagter2016a,H,FALSE,20.0793,1.30E+06,FALSE,Fe limited
Slagter2016a,H,FALSE,24.0113,1.42E+06,FALSE,Fe limited
Slagter2016a,H,FALSE,27.9459,1.41E+06,FALSE,Fe limited
Slagter2016a,H,FALSE,32.0065,1.00E+06,FALSE,Fe limited
Slagter2016a,H,FALSE,36.018,1.08E+06,FALSE,Fe limited
Slagter2016a,H,FALSE,39.9977,7.84E+05,FALSE,Fe limited
Slagter2016a,H,FALSE,43.9736,6.74E+05,FALSE,Fe limited
Slagter2016a,H,FALSE,47.9952,2.46E+05,FALSE,Fe limited
Slagter2016a,H,FALSE,51.9325,95419.8473,FALSE,Fe limited
Slagter2016a,H,FALSE,55.9472,16539.4402,FALSE,Fe limited
Slagter2016a,H,FALSE,59.6852,3816.7939,FALSE,Fe limited
Slagter2016a,V,FALSE,0.0431,1.61E+07,FALSE,Fe limited
Slagter2016a,V,FALSE,4.0937,1.56E+07,FALSE,Fe limited
Slagter2016a,V,FALSE,8.0325,1.52E+07,FALSE,Fe limited
Slagter2016a,V,FALSE,12.0156,2.95E+07,FALSE,Fe limited
Slagter2016a,V,FALSE,16.0811,8.77E+07,FALSE,Fe limited
Slagter2016a,V,FALSE,20.0308,1.61E+08,FALSE,Fe limited
Slagter2016a,V,FALSE,24.108,2.06E+08,FALSE,Fe limited
Slagter2016a,V,FALSE,28.0883,2.33E+08,FALSE,Fe limited
Slagter2016a,V,FALSE,32.1011,2.69E+08,FALSE,Fe limited
Slagter2016a,V,FALSE,36.1786,3.24E+08,FALSE,Fe limited
Slagter2016a,V,FALSE,44.2339,3.28E+08,FALSE,Fe limited
Slagter2016a,V,FALSE,48.246,3.46E+08,FALSE,Fe limited
Slagter2016a,H,FALSE,0,8.66E+05,FALSE,"Replete host, Fe limited vius"
